session_id,num_events,num_commands,session_duration,max_inter_command_time,mean_inter_command_time,std_inter_command_time,command_error_rate,file_transfer_ratio,login_error_rate,reconnaissance_ratio,exploit_ratio,unique_commands_ratio,command_diversity
939597b92f5b,41.0,19.0,5.5662970000000005,0.215067,0.17887361111111114,0.04390709309726202,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
93b966b217ca,77.0,23.0,42.455913,7.832748,1.6192951818181818,1.4940239847315397,0.08695651795841226,0.1304347769376184,0.0,0.025974025636700968,0.051948051273401935,0.5384615384615384,19.0
93d308a170a1,41.0,19.0,24.803873,1.403761,0.9521594999999999,0.20701330556619105,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
93df1501a8ed,7.0,1.0,182.767098,0.0,0.0,0.0,0.0,0.0,0.0,0.285714244897965,0.1428571224489825,1.0,1.0
9427c67bf8f0,17.0,7.0,3.534427,0.272712,0.0864835,0.1279675430032944,0.4285713673469475,0.0,0.0,0.0,0.05882352595155729,0.33333333333333337,7.0
9438dd4fdfbc,78.0,23.0,54.151005,13.514309,2.0694470454545457,3.247678856080337,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
9472af0c5a50,64.0,29.0,68.775574,0.889237,0.08818071428571428,0.22006830565831773,0.06896551486325811,0.0,0.0,0.0,0.015624999755859379,0.3448275862068966,20.0
948ec26efe58,78.0,23.0,59.640857,18.000449,2.273057363636364,3.576673277496663,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
949fa47e3f3c,18.0,10.0,15.005799,6.139835,0.8867480000000001,1.9902376684151946,0.299999970000003,0.0,0.0,0.0,0.055555552469135974,0.15384615384615385,12.0
94a039d8e19d,31.0,20.0,1.436928,0.020831,0.006886473684210526,0.0037397465655133644,0.09999999500000024,0.0,0.0,0.0,0.032258063475546335,0.050000000000000044,20.0
94a4cd15497b,78.0,23.0,34.0402,6.925974,1.2866783181818182,1.3614162533029934,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
94ab61029452,41.0,19.0,29.137371,1.264074,1.1806726111111112,0.1076225263655823,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
950f843dae88,41.0,19.0,25.222321,1.167182,1.0471176111111111,0.09033766662598776,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
953ea488c3de,8.0,1.0,0.269453,0.0,0.0,0.0,0.0,0.0,0.0,0.24999996875000394,0.12499998437500197,1.0,1.0
9556ed1d899c,78.0,23.0,13.030873,2.272034,0.467242909090909,0.41327111109823816,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
